Trial,Block,Conflict,Trial_Type,Cue_Valence,Optimal_Action,Agent_Choice,Agent_Reward,Correct
15870,B4_LC,PC,GW,1,1,1.0,1.0,1
15871,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15872,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15873,B4_LC,PC,GW,1,1,1.0,1.0,1
15874,B4_LC,PC,GW,1,1,1.0,1.0,1
15875,B4_LC,PI,NW,1,0,0.0,1.0,1
15876,B4_LC,PI,GAL,-1,1,1.0,0.0,1
15877,B4_LC,PI,NW,1,0,1.0,0.0,0
15878,B4_LC,PC,GW,1,1,1.0,1.0,1
15879,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15880,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15881,B4_LC,PC,GW,1,1,1.0,1.0,1
15882,B4_LC,PC,GW,1,1,1.0,1.0,1
15883,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15884,B4_LC,PI,NW,1,0,0.0,1.0,1
15885,B4_LC,PI,NW,1,0,0.0,1.0,1
15886,B4_LC,PC,GW,1,1,1.0,1.0,1
15887,B4_LC,PC,GW,1,1,1.0,1.0,1
15888,B4_LC,PI,NW,1,0,1.0,0.0,0
15889,B4_LC,PI,NW,1,0,0.0,1.0,1
15890,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15891,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15892,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15893,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15894,B4_LC,PI,NW,1,0,1.0,0.0,0
15895,B4_LC,PC,GW,1,1,1.0,1.0,1
15896,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15897,B4_LC,PC,GW,1,1,1.0,1.0,1
15898,B4_LC,PC,GW,1,1,1.0,1.0,1
15899,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15900,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15901,B4_LC,PC,GW,1,1,1.0,1.0,1
15902,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15903,B4_LC,PC,GW,1,1,1.0,1.0,1
15904,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15905,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15906,B4_LC,PC,GW,1,1,1.0,1.0,1
15907,B4_LC,PC,GW,1,1,1.0,1.0,1
15908,B4_LC,PC,GW,1,1,1.0,1.0,1
15909,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15910,B4_LC,PC,GW,1,1,1.0,1.0,1
15911,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15912,B4_LC,PC,NAL,-1,0,1.0,-1.0,0
15913,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15914,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15915,B4_LC,PC,GW,1,1,0.0,0.0,0
15916,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15917,B4_LC,PC,GW,1,1,1.0,1.0,1
15918,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15919,B4_LC,PI,NW,1,0,0.0,1.0,1
15920,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15921,B4_LC,PC,GW,1,1,1.0,1.0,1
15922,B4_LC,PI,NW,1,0,0.0,1.0,1
15923,B4_LC,PC,GW,1,1,1.0,1.0,1
15924,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15925,B4_LC,PC,GW,1,1,1.0,1.0,1
15926,B4_LC,PC,GW,1,1,1.0,1.0,1
15927,B4_LC,PC,GW,1,1,1.0,1.0,1
15928,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15929,B4_LC,PC,GW,1,1,0.0,0.0,0
15930,B4_LC,PI,NW,1,0,1.0,0.0,0
15931,B4_LC,PI,NW,1,0,0.0,1.0,1
15932,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15933,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15934,B4_LC,PC,GW,1,1,1.0,1.0,1
15935,B4_LC,PI,NW,1,0,1.0,0.0,0
15936,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15937,B4_LC,PC,GW,1,1,1.0,1.0,1
15938,B4_LC,PI,GAL,-1,1,1.0,0.0,1
15939,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15940,B4_LC,PC,NAL,-1,0,0.0,0.0,1
