"userId","trialNumber","stimulus","knocked","scoreChange"
220088,74,4,0,50
220088,75,3,0,0
220088,76,3,1,0
220088,77,1,0,0
220088,78,1,1,0
220088,79,2,0,-50
220088,80,3,1,-50
220245,50,3,1,0
220245,51,1,1,50
220245,53,3,1,-50
220245,54,3,1,-50
220245,36,4,1,0
220245,52,2,1,0
220245,38,3,1,-50
220245,39,1,1,50
220245,40,4,1,0
220245,37,1,1,50
220245,42,4,1,0
220245,43,3,1,-50
220245,44,3,0,0
220245,45,4,1,0
220245,46,3,0,0
220245,47,2,1,0
220245,48,1,1,50
220245,49,4,1,0
220245,9,2,0,-50
220245,10,3,1,-50
220245,11,1,1,50
220245,12,2,0,-50
220245,13,3,0,0
220245,14,3,0,0
220245,15,1,1,50
220245,16,4,1,0
220245,17,3,1,-50
220245,18,3,0,0
220245,19,2,1,0
220245,20,2,0,-50
220245,21,4,1,-50
220245,22,1,1,50
220245,23,1,1,50
220245,24,2,0,-50
220245,25,3,1,-50
220245,26,2,1,0
220245,27,4,1,0
220245,28,1,1,50
220245,29,1,1,50
220245,30,4,1,0
220245,31,3,1,-50
220245,32,2,0,-50
220245,33,2,1,0
220245,34,1,1,50
220245,35,2,1,0
220245,41,4,1,0
220245,1,4,1,-50
220245,2,1,1,0
220245,3,3,1,-50
220245,4,2,1,0
220245,5,4,1,0
220245,6,3,1,-50
220245,7,3,1,-50
220245,8,1,1,50
220245,55,4,1,-50
220245,56,2,1,50
220245,57,4,1,0
220245,58,4,1,0
220245,59,1,1,50
220245,60,2,1,50
220245,61,1,1,50
220245,62,1,1,50
220245,63,1,1,50
220245,64,4,1,0
220245,65,1,1,50
220245,66,2,1,0
220245,67,4,1,0
220245,68,4,1,0
220245,69,4,1,0
220245,70,4,1,0
220245,71,3,0,50
220245,72,1,1,50
220245,73,3,0,0
220245,74,1,1,50
220245,75,2,1,0
220245,76,2,1,50
220245,77,2,1,50
220245,78,2,1,0
220245,79,2,1,50
220245,80,3,1,-50
220317,9,3,0,50
220317,10,4,1,-50
220317,11,3,0,0
220317,12,3,0,0
220317,13,1,0,0
220317,14,1,0,0
220317,15,2,1,0
220317,16,3,1,-50
220317,17,4,1,-50
220317,18,4,1,0
220317,19,1,1,50
220317,20,1,1,0
220317,21,3,1,-50
220317,22,1,1,50
220317,23,1,1,50
220317,24,3,1,-50
220317,25,1,1,50
220317,26,3,0,0
220317,27,2,0,-50
220317,28,2,0,-50
220317,29,1,1,50
220317,30,3,0,0
220317,31,4,1,-50
220317,32,2,0,-50
220317,33,2,1,0
220317,34,3,1,0
220317,35,4,1,0
220317,36,4,1,0
220317,37,3,1,-50
220317,38,2,1,0
220317,39,4,1,0
220317,40,2,1,0
220317,41,4,1,0
220317,42,3,1,-50
220317,43,1,0,0
220317,44,2,1,50
220317,45,2,1,0
220317,46,1,1,50
220317,47,3,1,-50
220317,48,2,1,0
220317,49,1,1,0
220317,50,4,1,0
220317,51,3,0,50
220317,52,4,1,0
220317,53,3,0,0
220317,54,1,1,50
220317,55,2,0,-50
220317,56,3,0,50
220317,57,4,1,-50
220317,58,2,0,-50
220317,59,2,0,0
220317,60,4,1,0
220317,61,1,1,50
220317,62,1,1,50
220317,63,2,0,-50
220317,64,2,0,-50
220317,65,4,1,0
220317,66,2,1,0
220317,67,1,1,50
220317,68,1,1,50
220317,69,2,0,-50
220317,70,4,1,0
220317,71,3,1,0
220317,72,4,1,0
220317,73,4,1,0
220317,74,1,0,0
220317,75,4,1,0
220317,76,4,1,0
220317,77,1,1,50
220317,78,3,0,0
220317,79,2,0,-50
220317,80,1,1,50
220317,1,3,1,-50
220317,2,1,1,50
220317,3,2,1,50
220317,4,3,1,-50
220317,5,4,1,-50
220317,6,4,1,0
220317,7,2,0,-50
220317,8,3,0,0
220328,55,1,1,50
220328,56,1,0,0
220328,57,3,1,0
220328,58,2,1,0
220328,59,3,1,-50
220328,60,3,1,-50
220328,61,3,1,-50
220328,62,2,1,50
220328,63,3,1,-50
220328,64,3,1,0
220328,65,3,1,-50
220328,66,1,1,50
220328,67,4,1,0
220328,68,4,1,-50
220328,69,3,1,-50
220328,70,4,1,0
220328,71,2,1,0
220328,72,1,0,-50
220328,73,3,1,-50
220328,74,2,1,0
220328,75,1,1,50
220328,76,2,0,0
220328,77,1,1,50
220328,78,2,1,50
220328,79,2,0,0
220328,80,3,1,-50
220328,1,1,1,50
220328,2,3,0,0
220328,3,4,1,0
220328,4,2,0,-50
220328,5,1,1,50
220328,6,1,1,50
220328,7,3,0,50
220328,8,2,1,50
220328,9,4,0,50
220328,10,1,1,0
220328,11,3,1,0
220328,12,4,0,50
220328,13,2,1,0
220328,14,2,0,-50
220328,15,4,1,0
220328,16,4,1,-50
220328,17,4,0,50
220328,18,1,0,0
220328,19,3,1,-50
220328,20,1,1,0
220328,21,2,1,0
220328,22,4,0,50
220328,23,4,1,0
220328,24,1,0,0
220328,25,1,1,50
220328,26,3,0,0
220328,27,3,1,-50
220328,28,1,1,0
220328,29,4,1,-50
220328,30,4,1,0
220328,31,4,1,0
220328,32,4,0,50
220328,33,3,1,0
220328,34,4,0,50
220328,35,4,1,0
220328,36,2,1,0
220328,37,2,0,-50
220328,38,2,1,50
220328,39,1,1,50
220328,40,2,0,-50
220328,41,4,1,0
220328,42,1,1,50
220328,43,2,1,0
220328,44,3,1,-50
220328,45,4,1,0
220328,46,1,0,0
220328,47,3,1,0
220328,48,2,1,0
220328,49,4,1,0
220328,50,2,1,0
220328,51,2,1,50
220328,52,3,1,-50
220328,53,1,1,50
220328,54,1,1,0
220352,8,1,1,50
220352,9,3,1,-50
220352,1,2,0,0
220352,2,4,1,0
220352,3,1,1,0
220352,4,3,1,-50
220352,18,1,1,0
220352,19,3,1,-50
220352,20,1,1,50
220352,21,3,0,0
220352,22,4,1,0
220352,23,1,1,50
220352,24,2,1,0
220352,25,1,1,50
220352,26,3,0,50
220352,40,4,0,50
220352,41,3,1,-50
220352,42,2,1,0
220352,43,2,0,0
220352,44,4,1,0
220352,5,3,0,0
220352,6,1,0,0
220352,7,4,1,0
220352,48,2,0,0
220352,49,1,1,50
220352,50,3,0,0
220352,51,3,0,0
220352,52,1,1,0
220352,53,4,1,-50
220352,54,2,1,50
220352,55,3,0,0
220352,56,3,0,0
220352,57,1,1,50
220352,58,2,1,0
220352,59,2,1,0
220352,60,2,0,0
220352,61,4,1,0
220352,62,4,0,50
220352,63,1,1,50
220352,64,1,1,50
220352,65,2,0,0
220352,66,1,1,50
220352,27,3,0,0
220352,28,2,1,0
220352,29,4,1,0
220352,30,4,1,-50
220352,31,2,0,-50
220352,32,3,1,0
220352,33,2,1,0
220352,34,4,1,0
220352,35,3,0,0
220352,36,4,1,0
220352,37,1,1,50
220352,38,4,0,50
220352,39,2,1,0
220352,80,1,1,50
220352,81,1,1,50
220352,82,2,1,0
