"userId","trialNumber","stimulus","knocked","scoreChange"
220218,23,2,0,-50
220218,24,2,1,50
220218,25,1,1,0
220218,26,3,0,0
220218,27,3,0,0
220218,28,1,1,50
220218,29,1,1,50
220218,30,2,1,0
220218,31,3,0,0
220218,32,3,0,0
220218,33,1,1,50
220218,59,3,0,0
220218,60,1,1,50
220218,61,3,0,0
220218,62,2,0,0
220218,63,1,1,50
220218,64,2,0,-50
220218,65,4,1,0
220218,66,1,1,50
220218,67,2,1,0
220218,68,3,0,0
220218,69,4,1,0
220218,70,1,1,50
220218,71,4,0,50
220218,81,4,1,0
220218,82,4,0,50
220218,83,4,0,50
220218,84,1,1,50
220218,85,3,0,0
220218,86,1,1,0
220218,87,1,1,50
220218,34,3,0,0
220218,35,1,1,50
220218,36,4,1,0
220232,4,2,1,50
220232,5,2,0,-50
220232,6,3,1,-50
220232,3,4,0,0
220232,17,2,0,-50
220232,18,3,1,0
220232,19,2,1,0
220232,20,1,1,50
220232,21,1,1,0
220232,22,1,0,0
220232,36,2,1,50
220232,37,4,1,0
220232,38,4,1,0
220232,39,2,1,0
220232,14,3,1,-50
220232,15,2,1,0
220232,16,4,1,0
220232,43,2,1,0
220232,44,4,1,-50
220232,45,2,1,0
220232,46,1,1,50
220232,7,2,1,0
220232,8,2,1,50
220232,9,4,1,0
220232,10,3,0,0
220232,11,4,1,0
220232,12,2,1,0
220232,13,1,0,-50
220232,55,3,0,0
220232,56,3,0,50
220232,57,1,1,50
220232,58,2,1,0
220232,59,3,0,0
220232,60,1,1,50
220232,61,1,1,50
220232,62,1,1,50
220232,63,1,1,0
220232,64,1,1,50
220232,65,4,0,50
220232,66,1,1,50
220232,67,4,0,50
220232,68,1,1,50
220232,69,2,0,-50
220232,70,3,0,0
220232,71,3,0,0
220232,72,2,1,0
220232,73,1,1,50
220232,74,3,0,0
220232,75,3,0,0
220232,76,4,1,-50
220232,77,2,1,0
220232,78,1,1,50
220232,79,3,0,0
220232,80,4,1,0
220232,40,3,0,0
220232,41,3,0,0
220232,42,3,0,0
220232,84,1,1,0
220232,85,2,1,0
220232,86,3,0,50
220232,87,1,1,50
220232,88,3,0,0
220232,89,4,0,0
220232,90,1,1,50
220232,91,2,1,0
220232,92,1,1,50
220232,93,3,0,0
220232,94,3,0,0
220232,95,4,0,50
220232,96,3,1,-50
220232,97,4,0,50
220232,98,1,1,0
220232,99,1,1,0
220232,100,3,0,0
220232,81,1,1,50
220232,82,4,0,50
220232,83,3,0,0
220232,2,1,1,50
220232,23,3,1,-50
220232,24,2,1,0
220232,25,4,1,0
220232,26,4,0,50
220232,27,2,1,0
220232,28,3,0,0
220232,29,4,1,0
220232,30,4,1,0
220232,31,2,1,0
220232,32,4,1,0
220232,33,3,1,-50
220232,34,2,1,0
220232,35,4,1,0
220232,47,2,1,0
220232,48,4,1,0
220232,49,4,1,0
220232,50,1,1,50
220232,51,2,1,0
220232,52,4,1,-50
220232,53,1,1,50
220232,54,4,0,0
220232,1,2,1,0
220333,1,1,1,50
220333,2,2,0,0
220333,3,1,1,0
220333,4,1,1,50
220333,5,4,1,0
220333,6,2,1,0
220333,7,2,1,0
220333,8,4,1,0
220333,9,1,1,50
220333,10,2,1,0
220333,11,1,1,50
220333,12,2,1,0
220333,13,2,1,0
220333,14,4,1,0
220333,15,2,1,0
220333,16,1,1,50
220333,17,2,1,0
220333,18,3,1,-50
220333,19,2,1,0
220333,20,3,0,0
220333,21,2,1,0
220333,22,3,1,-50
220333,23,1,1,50
220333,24,2,1,0
220333,25,1,1,0
220333,26,4,1,0
220333,27,3,1,-50
220333,28,1,1,0
220333,29,1,1,50
220333,30,4,1,0
220333,31,1,1,50
220333,32,3,1,-50
220333,33,1,1,50
220333,34,2,1,0
220333,35,3,1,-50
220333,36,4,1,0
220333,37,2,1,0
220333,38,4,1,0
220333,39,4,1,0
220333,40,3,1,0
220333,41,3,1,-50
220333,42,3,1,-50
220333,43,3,1,0
220333,44,3,1,-50
220333,45,4,1,0
220333,46,4,1,0
220333,47,4,1,0
220333,48,1,1,0
220333,49,3,0,50
220333,50,4,1,0
220333,51,1,1,50
220333,52,4,1,0
220333,53,2,1,0
220333,54,1,1,50
220333,55,4,1,0
220333,56,2,1,0
220333,57,3,1,-50
220333,58,1,1,50
220333,59,3,1,-50
220333,60,1,1,50
220333,61,3,1,0
220333,62,3,1,-50
220333,63,4,1,0
220333,64,4,1,0
220333,65,1,1,50
220333,66,4,1,0
220333,67,2,1,0
220333,68,4,1,0
220333,69,3,1,-50
220333,70,2,0,0
220333,71,4,1,0
220333,72,1,1,0
220333,73,4,1,-50
220333,74,2,1,0
220333,75,2,1,0
220333,76,2,1,0
220333,77,3,1,-50
220333,78,4,1,0
220333,79,4,1,0
220333,80,1,1,50
220333,81,3,0,0
220333,82,3,1,0
220333,83,2,1,50
220333,84,4,1,0
220333,85,2,1,0
220333,86,4,1,0
220333,87,3,1,-50
220333,88,4,1,0
220333,89,1,1,50
220333,90,3,1,-50
220333,91,3,1,0
220333,92,1,1,50
220333,93,2,1,0
220333,94,3,1,-50
220333,95,3,1,-50
220333,96,2,1,50
220333,97,2,1,0
220333,98,1,1,50
220333,99,1,1,50
220333,100,1,1,50
220413,66,1,1,0
220413,67,1,1,50
220413,64,2,1,50
220413,65,2,1,0
220413,83,3,0,0
220413,84,4,0,50
220413,85,2,1,50
220413,86,4,0,50
220413,87,1,1,50
220413,88,2,1,0
220413,89,1,1,50
220413,90,1,1,50
220413,91,4,0,50
220413,92,2,1,0
220413,93,2,1,50
220413,94,4,0,50
220413,95,2,1,0
220413,96,3,0,0
220413,97,4,0,50
220413,98,3,0,50
220413,99,1,1,50
220413,100,3,0,0
220413,68,1,1,50
220413,69,1,1,0
220413,70,2,1,0
220413,71,3,0,0
220413,72,2,1,0
220413,73,1,1,50
220413,74,4,0,0
220413,75,2,1,50
220413,76,3,0,50
220413,77,3,0,0
220413,78,3,0,0
220413,79,4,0,0
220413,80,2,1,0
220413,81,3,0,0
220413,82,4,0,50
220413,1,1,1,50
220413,2,2,1,0
220413,3,1,1,0
220413,4,2,1,0
220413,5,2,1,0
220413,6,1,1,0
220413,7,4,0,0
220413,8,3,1,-50
220413,9,1,1,50
220413,10,1,1,50
220413,11,3,0,0
220413,12,1,1,50
220413,13,4,0,50
220413,14,3,0,0
220413,15,3,0,0
220413,16,1,1,50
220413,17,2,1,0
220413,18,3,0,0
220413,19,4,0,50
220413,20,1,1,0
220413,21,4,0,50
220413,22,3,1,0
220413,23,4,0,50
220413,24,1,1,50
220413,25,1,1,0
220413,26,3,1,-50
220413,27,3,1,-50
220413,28,4,0,50
220413,29,2,1,0
220413,30,3,0,50
220413,31,2,1,0
220413,32,4,0,50
220413,33,3,0,0
220413,34,2,1,0
220413,35,2,0,-50
220413,36,3,0,0
220413,37,4,0,50
220413,38,2,1,0
220413,39,3,0,0
220413,40,3,0,0
220413,41,4,0,50
220413,42,3,0,50
220413,43,1,1,50
220413,44,1,1,50
220413,45,4,0,50
220413,46,4,0,50
220413,47,4,0,50
220413,48,2,1,0
220413,49,2,1,0
220413,50,4,0,50
220413,51,4,0,0
220413,52,1,1,50
220413,53,4,0,50
220413,54,4,0,50
220413,55,3,0,50
220413,56,1,1,50
220413,57,2,1,0
220413,58,1,1,50
220413,59,2,1,0
220413,60,2,1,0
220413,61,3,0,0
220413,62,4,0,0
220413,63,1,1,50
220519,1,4,1,-50
220519,2,4,1,0
220519,3,2,1,0
220519,4,4,1,0
220519,5,3,1,-50
220519,6,1,1,50
220519,7,1,1,50
220519,8,3,0,0
220519,9,1,1,50
220519,10,4,1,0
220519,11,3,0,50
220519,12,4,1,-50
220519,13,2,1,0
220519,14,4,1,0
220519,15,2,1,0
220519,16,3,0,0
220519,17,2,0,-50
220519,18,2,1,0
220519,19,4,1,0
220519,20,3,1,-50
220519,21,3,1,-50
220519,22,3,1,-50
220519,23,3,1,-50
220519,24,4,1,-50
220519,25,2,0,0
220519,26,1,1,50
220519,27,2,0,-50
220519,28,4,1,0
220519,29,3,1,-50
220519,30,2,1,50
220519,31,4,1,0
220519,32,1,1,0
220519,33,1,1,50
220519,34,2,0,-50
220519,35,1,1,50
220519,36,1,1,50
220519,37,2,1,50
220519,38,2,0,-50
220519,39,1,1,0
220519,40,4,1,0
220519,41,1,1,50
220519,42,1,1,50
220519,43,1,1,0
220519,44,2,1,0
220519,45,2,1,50
220519,46,2,1,0
220519,47,1,1,50
220519,48,1,1,50
220519,49,3,0,0
220519,50,2,1,0
220519,51,4,1,0
220519,52,4,1,0
220519,53,2,0,-50
220519,54,2,1,0
220519,55,3,1,-50
220519,56,4,1,0
220519,57,3,1,-50
220519,58,4,1,-50
220519,59,3,1,0
220519,60,1,1,50
220519,61,4,1,0
220519,62,3,0,0
220519,63,1,1,50
220519,64,3,1,-50
220519,65,3,1,-50
220519,66,2,1,50
220519,67,1,1,50
220519,68,2,0,-50
220519,69,4,1,0
220519,70,4,1,0
220519,71,3,0,0
220519,72,1,1,0
220519,73,4,1,0
220519,74,3,1,0
220519,75,1,1,50
220519,76,2,0,-50
220519,77,3,1,-50
220519,78,3,1,-50
220519,79,4,1,-50
220519,80,1,1,50
220705,31,3,0,0
220705,32,1,1,50
220705,28,1,1,0
220705,29,2,1,0
220705,30,4,1,0
220705,44,1,1,0
220705,45,4,1,-50
220705,46,3,0,0
220705,47,4,1,0
220705,48,3,1,-50
220705,49,4,1,0
220705,50,1,1,50
220705,51,4,1,0
220705,52,2,1,50
220705,53,2,1,0
220705,54,1,1,50
220705,55,2,1,0
220705,56,2,0,-50
220705,57,3,1,-50
220705,58,2,1,0
220705,59,2,1,0
220705,60,3,1,-50
