Trial,Block,Conflict,Trial_Type,Cue_Valence,Optimal_Action,Agent_Choice,Agent_Reward,Correct
169,B2_HC,PI,NW,1,0,1.0,0.0,0
170,B2_HC,PI,NW,1,0,0.0,1.0,1
171,B2_HC,PC,GW,1,1,1.0,1.0,1
172,B2_HC,PC,GW,1,1,1.0,1.0,1
173,B2_HC,PC,NAL,-1,0,0.0,0.0,1
174,B2_HC,PC,GW,1,1,1.0,1.0,1
175,B2_HC,PI,GAL,-1,1,0.0,-1.0,0
176,B2_HC,PC,GW,1,1,1.0,1.0,1
177,B2_HC,PC,GW,1,1,1.0,1.0,1
178,B2_HC,PI,GAL,-1,1,1.0,0.0,1
179,B2_HC,PI,NW,1,0,0.0,1.0,1
180,B2_HC,PI,NW,1,0,1.0,0.0,0
181,B2_HC,PI,GAL,-1,1,1.0,0.0,1
182,B2_HC,PI,NW,1,0,1.0,0.0,0
183,B2_HC,PI,NW,1,0,0.0,1.0,1
184,B2_HC,PI,NW,1,0,1.0,0.0,0
185,B2_HC,PC,NAL,-1,0,0.0,0.0,1
186,B2_HC,PI,NW,1,0,0.0,1.0,1
187,B2_HC,PI,GAL,-1,1,0.0,-1.0,0
188,B2_HC,PI,NW,1,0,0.0,1.0,1
189,B2_HC,PC,GW,1,1,1.0,1.0,1
190,B2_HC,PI,GAL,-1,1,0.0,-1.0,0
191,B2_HC,PI,GAL,-1,1,0.0,-1.0,0
192,B2_HC,PC,GW,1,1,1.0,1.0,1
193,B2_HC,PC,NAL,-1,0,0.0,0.0,1
194,B2_HC,PI,NW,1,0,0.0,1.0,1
195,B2_HC,PC,GW,1,1,1.0,1.0,1
196,B2_HC,PI,NW,1,0,0.0,1.0,1
197,B2_HC,PI,GAL,-1,1,1.0,0.0,1
198,B2_HC,PI,NW,1,0,0.0,1.0,1
199,B2_HC,PC,GW,1,1,1.0,1.0,1
200,B2_HC,PI,GAL,-1,1,0.0,-1.0,0
201,B4_LC,PC,NAL,-1,0,0.0,0.0,1
202,B4_LC,PC,GW,1,1,1.0,1.0,1
203,B4_LC,PI,GAL,-1,1,1.0,0.0,1
204,B4_LC,PI,NW,1,0,1.0,0.0,0
205,B4_LC,PC,GW,1,1,1.0,1.0,1
206,B4_LC,PC,GW,1,1,1.0,1.0,1
207,B4_LC,PC,NAL,-1,0,0.0,0.0,1
208,B4_LC,PC,GW,1,1,1.0,1.0,1
209,B4_LC,PI,NW,1,0,0.0,1.0,1
210,B4_LC,PI,GAL,-1,1,0.0,-1.0,0
211,B4_LC,PC,NAL,-1,0,0.0,0.0,1
212,B4_LC,PC,GW,1,1,1.0,1.0,1
213,B4_LC,PC,NAL,-1,0,0.0,0.0,1
214,B4_LC,PC,GW,1,1,1.0,1.0,1
215,B4_LC,PC,GW,1,1,1.0,1.0,1
216,B4_LC,PC,NAL,-1,0,1.0,-1.0,0
217,B4_LC,PC,NAL,-1,0,0.0,0.0,1
218,B4_LC,PC,NAL,-1,0,0.0,0.0,1
219,B4_LC,PC,GW,1,1,1.0,1.0,1
220,B4_LC,PC,NAL,-1,0,1.0,-1.0,0
221,B4_LC,PC,NAL,-1,0,0.0,0.0,1
222,B4_LC,PC,NAL,-1,0,0.0,0.0,1
223,B4_LC,PI,NW,1,0,0.0,1.0,1
224,B4_LC,PI,GAL,-1,1,0.0,-1.0,0
225,B4_LC,PC,NAL,-1,0,1.0,-1.0,0
226,B4_LC,PC,GW,1,1,1.0,1.0,1
227,B4_LC,PC,GW,1,1,1.0,1.0,1
228,B4_LC,PC,GW,1,1,1.0,1.0,1
229,B4_LC,PI,NW,1,0,0.0,1.0,1
230,B4_LC,PI,NW,1,0,1.0,0.0,0
231,B4_LC,PC,NAL,-1,0,0.0,0.0,1
232,B4_LC,PC,GW,1,1,1.0,1.0,1
233,B4_LC,PC,NAL,-1,0,0.0,0.0,1
234,B4_LC,PI,NW,1,0,1.0,0.0,0
235,B4_LC,PI,GAL,-1,1,1.0,0.0,1
236,B4_LC,PI,GAL,-1,1,1.0,0.0,1
237,B4_LC,PC,NAL,-1,0,0.0,0.0,1
238,B4_LC,PI,NW,1,0,0.0,1.0,1
239,B4_LC,PI,GAL,-1,1,1.0,0.0,1
240,B4_LC,PC,GW,1,1,1.0,1.0,1
241,B4_LC,PI,GAL,-1,1,1.0,0.0,1
242,B4_LC,PC,NAL,-1,0,0.0,0.0,1
243,B4_LC,PC,GW,1,1,0.0,0.0,0
244,B4_LC,PC,GW,1,1,1.0,1.0,1
245,B4_LC,PC,NAL,-1,0,0.0,0.0,1
246,B4_LC,PI,GAL,-1,1,0.0,-1.0,0
247,B4_LC,PC,GW,1,1,1.0,1.0,1
248,B4_LC,PI,NW,1,0,1.0,0.0,0
249,B4_LC,PC,GW,1,1,1.0,1.0,1
250,B4_LC,PC,GW,1,1,0.0,0.0,0
251,B4_LC,PC,NAL,-1,0,0.0,0.0,1
252,B4_LC,PC,GW,1,1,1.0,1.0,1
253,B4_LC,PC,GW,1,1,1.0,1.0,1
254,B4_LC,PC,GW,1,1,0.0,0.0,0
255,B4_LC,PC,NAL,-1,0,0.0,0.0,1
256,B4_LC,PC,GW,1,1,1.0,1.0,1
257,B4_LC,PC,NAL,-1,0,1.0,-1.0,0
258,B4_LC,PC,GW,1,1,1.0,1.0,1
259,B4_LC,PI,NW,1,0,1.0,0.0,0
260,B4_LC,PI,GAL,-1,1,1.0,0.0,1
261,B4_LC,PC,NAL,-1,0,0.0,0.0,1
262,B4_LC,PC,GW,1,1,1.0,1.0,1
263,B4_LC,PC,NAL,-1,0,0.0,0.0,1
264,B4_LC,PC,NAL,-1,0,1.0,-1.0,0
265,B4_LC,PC,NAL,-1,0,0.0,0.0,1
266,B4_LC,PC,GW,1,1,1.0,1.0,1
267,B4_LC,PC,NAL,-1,0,1.0,-1.0,0
268,B4_LC,PI,NW,1,0,1.0,0.0,0
269,B4_LC,PI,NW,1,0,0.0,1.0,1
270,B4_LC,PC,NAL,-1,0,0.0,0.0,1
271,B4_LC,PI,GAL,-1,1,1.0,0.0,1
272,B4_LC,PC,NAL,-1,0,0.0,0.0,1
273,B4_LC,PI,NW,1,0,0.0,1.0,1
274,B4_LC,PC,GW,1,1,1.0,1.0,1
275,B4_LC,PC,GW,1,1,1.0,1.0,1
276,B4_LC,PI,NW,1,0,0.0,1.0,1
277,B4_LC,PC,NAL,-1,0,1.0,-1.0,0
278,B4_LC,PI,NW,1,0,1.0,0.0,0
279,B4_LC,PC,GW,1,1,1.0,1.0,1
280,B4_LC,PC,GW,1,1,1.0,1.0,1
281,B4_LC,PI,GAL,-1,1,1.0,0.0,1
282,B4_LC,PC,NAL,-1,0,0.0,0.0,1
283,B4_LC,PC,GW,1,1,1.0,1.0,1
284,B4_LC,PC,NAL,-1,0,0.0,0.0,1
285,B4_LC,PC,GW,1,1,1.0,1.0,1
286,B4_LC,PC,NAL,-1,0,0.0,0.0,1
287,B4_LC,PI,NW,1,0,1.0,0.0,0
288,B4_LC,PC,NAL,-1,0,0.0,0.0,1
